Sector,Ticker,Year,Month,Monthly_Return_%
Consumer Staples,ITC.NS,2021,12,-1.0681999999999996
Consumer Staples,ITC.NS,2022,1,1.0961999999999996
Consumer Staples,ITC.NS,2022,2,-1.5908000000000002
Consumer Staples,ITC.NS,2022,3,15.1437
Consumer Staples,ITC.NS,2022,4,3.7338999999999998
Consumer Staples,ITC.NS,2022,5,4.5161999999999995
Consumer Staples,ITC.NS,2022,6,1.1763000000000006
Consumer Staples,ITC.NS,2022,7,10.4246
Consumer Staples,ITC.NS,2022,8,5.6837
Consumer Staples,ITC.NS,2022,9,3.8255000000000003
Consumer Staples,ITC.NS,2022,10,5.0123999999999995
Consumer Staples,ITC.NS,2022,11,-2.432
Consumer Staples,ITC.NS,2022,12,-2.3978
Consumer Staples,ITC.NS,2023,1,6.1916
Consumer Staples,ITC.NS,2023,2,6.953799999999999
Consumer Staples,ITC.NS,2023,3,1.8808000000000005
Consumer Staples,ITC.NS,2023,4,10.5134
Consumer Staples,ITC.NS,2023,5,4.702500000000001
Consumer Staples,ITC.NS,2023,6,1.4264
Consumer Staples,ITC.NS,2023,7,3.3308999999999993
Consumer Staples,ITC.NS,2023,8,-5.6452
Consumer Staples,ITC.NS,2023,9,1.1455000000000002
Consumer Staples,ITC.NS,2023,10,-3.5847
Consumer Staples,ITC.NS,2023,11,1.7490999999999999
Consumer Staples,ITC.NS,2023,12,6.0214
Consumer Staples,ITC.NS,2024,1,-4.3864
Consumer Staples,ITC.NS,2024,2,-8.118
Consumer Staples,ITC.NS,2024,3,5.4662999999999995
Consumer Staples,ITC.NS,2024,4,1.8013000000000001
Consumer Staples,ITC.NS,2024,5,-1.9838999999999993
Consumer Staples,ITC.NS,2024,6,-0.19720000000000018
Consumer Staples,ITC.NS,2024,7,15.6479
Consumer Staples,ITC.NS,2024,8,1.3906000000000003
Consumer Staples,ITC.NS,2024,9,3.2773
Consumer Staples,ITC.NS,2024,10,-5.6672
Consumer Staples,ITC.NS,2024,11,-2.3707000000000007
Consumer Staples,ITC.NS,2024,12,1.5267000000000002
Consumer Staples,ITC.NS,2025,1,-3.7628000000000004
Consumer Staples,ITC.NS,2025,2,-12.2791
Consumer Staples,ITC.NS,2025,3,3.7459999999999996
Consumer Staples,ITC.NS,2025,4,3.9261
Consumer Staples,ITC.NS,2025,5,-1.6122999999999996
Consumer Staples,ITC.NS,2025,6,-0.3297999999999999
Consumer Staples,ITC.NS,2025,7,-1.0496000000000003
Consumer Staples,ITC.NS,2025,8,-0.45940000000000003
Consumer Staples,ITC.NS,2025,9,-1.9409
Consumer Staples,ITC.NS,2025,10,4.6366
